codigo_estudiante, materia, periodo, prueba_1, prueba_2, guia, ejercitacion, actitudinal, comentario
ST-1001-001, Matemáticas, 1, 15, 16, 18, 17, 18, Excelente desempeño y gran participación en clase.
ST-1001-002, Matemáticas, 1, 18, 17, 20, 19, 19, Felicitaciones por tu esfuerzo académico y puntualidad.
ST-1001-003, Matemáticas, 1, 11, 13, 12, 14, 12, Debe mejorar la atención y la entrega puntual de guías.
ST-1001-004, Matemáticas, 1, 19, 18, 19, 20, 20, Nivel sobresaliente en todas las competencias.
ST-1001-005, Matemáticas, 1, 14, 15, 14, 16, 15, Progreso adecuado. Seguir ejercitando operaciones.
ST-1001-006, Matemáticas, 1, 16, 17, 18, 15, 17, Demuestra gran comprensión en los temas vistos.
ST-1001-007, Matemáticas, 1, 12, 11, 14, 13, 14, Se recomienda repasar conceptos para la Prueba 2.
ST-1001-008, Matemáticas, 1, 17, 16, 17, 18, 18, Mantiene un excelente promedio y actitud positiva.
ST-1001-009, Matemáticas, 1, 15, 14, 16, 16, 16, Buen trabajo en clase y entrega oportuna.
ST-1001-010, Matemáticas, 1, 17, 18, 19, 19, 19, Excelente participación y nivel de resolución.
ST-1001-001, Español y Literatura, 1, 16, 17, 16, 18, 17, Buena comprensión lectora y expresión oral.
ST-1001-002, Español y Literatura, 1, 19, 20, 20, 19, 20, Trabajo excepcional en el análisis literario.
ST-1001-003, Español y Literatura, 1, 13, 15, 13, 14, 15, Buen trabajo en el ensayo. Debe mejorar ortografía.
ST-1001-004, Español y Literatura, 1, 18, 17, 19, 19, 19, Excelente capacidad crítica y de redacción.
ST-1001-005, Español y Literatura, 1, 15, 16, 15, 17, 16, Muy receptivo a las correcciones. Sigue así.
